Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,all-nba_1,all-nba_2,all-nba_3,all-defensive_1,all-defensive_2,all-rookie_1,all-rookie_2,all_star_game_rosters_1,all_star_game_rosters_2
2021,Will Barton,SF,30,DEN,56,52,31.0,4.6,10.9,.426,1.8,4.6,.381,2.9,6.3,.459,.507,1.7,2.2,.785,0.7,3.3,4.0,3.2,0.9,0.4,1.7,1.7,12.7,0,0,0,0,0,0,0,0,0,0
2021,Keita Bates-Diop,SF,25,SAS,30,0,8.2,1.0,2.2,.448,0.2,0.6,.294,0.8,1.7,.500,.485,0.5,0.7,.667,0.3,1.3,1.6,0.4,0.4,0.2,0.2,0.4,2.6,0,0,0,0,0,0,0,0,0,0
2021,Nicolas Batum,SF,32,LAC,67,38,27.4,2.9,6.1,.464,1.6,4.1,.404,1.2,2.1,.579,.597,0.7,0.9,.828,0.7,4.0,4.7,2.2,1.0,0.6,0.8,1.5,8.1,0,0,0,0,0,0,0,0,0,0
2021,Aron Baynes,C,34,TOR,53,31,18.5,2.5,5.7,.441,0.5,1.9,.262,2.0,3.8,.532,.485,0.5,0.8,.707,1.6,3.5,5.2,0.9,0.3,0.4,0.9,2.2,6.1,0,0,0,0,0,0,0,0,0,0
2021,Kent Bazemore,SF,31,GSW,67,18,19.9,2.6,5.9,.449,1.1,2.7,.408,1.5,3.1,.486,.545,0.8,1.2,.692,0.4,3.0,3.4,1.6,1.0,0.5,1.2,2.4,7.2,0,0,0,0,0,0,0,0,0,0
2021,Darius Bazley,PF,20,OKC,55,55,31.2,5.0,12.5,.396,1.5,5.2,.290,3.5,7.3,.470,.456,2.3,3.2,.702,0.9,6.3,7.2,1.8,0.5,0.5,2.2,1.1,13.7,0,0,0,0,0,0,0,0,0,0
2021,Bradley Beal,SG,27,WAS,60,60,35.8,11.2,23.0,.485,2.2,6.2,.349,9.0,16.8,.535,.532,6.8,7.7,.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.3,0,0,1,0,0,0,0,1,0,3
2021,Malik Beasley,SG,24,MIN,37,36,32.8,7.1,16.2,.440,3.5,8.7,.399,3.7,7.5,.487,.547,1.8,2.2,.850,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6,0,0,0,0,0,0,0,0,0,0
2021,Jordan Bell,C,26,WAS,5,1,13.4,1.4,4.0,.350,0.0,0.4,.000,1.4,3.6,.389,.350,0.0,0.0,,1.2,2.6,3.8,1.0,0.6,0.6,0.6,1.0,2.8,0,0,0,0,0,0,0,0,0,0
2021,Jordan Bell,C,26,GSW,1,0,15.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,1.0,2.0,.500,1.0,4.0,5.0,2.0,0.0,2.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0
2021,DeAndre' Bembry,SF,26,TOR,51,12,19.1,2.3,4.5,.513,0.3,1.0,.264,2.0,3.4,.589,.544,0.9,1.3,.682,0.6,2.2,2.9,2.1,1.0,0.4,1.4,1.7,5.7,0,0,0,0,0,0,0,0,0,0
2021,Dāvis Bertāns,PF,28,WAS,57,7,25.7,3.4,8.4,.404,3.0,7.5,.395,0.4,0.9,.480,.581,1.8,2.0,.870,0.3,2.6,2.9,0.9,0.6,0.2,0.6,2.4,11.5,0,0,0,0,0,0,0,0,0,0
2021,Patrick Beverley,PG,32,LAC,37,34,22.5,2.5,5.9,.423,1.5,3.8,.397,1.0,2.1,.468,.550,1.0,1.2,.800,0.8,2.4,3.2,2.1,0.8,0.8,0.9,2.9,7.5,0,0,0,0,0,0,0,0,0,0
2021,Saddiq Bey,SF,21,DET,70,53,27.3,4.0,9.9,.404,2.5,6.6,.380,1.5,3.3,.450,.530,1.8,2.1,.844,0.6,3.9,4.5,1.4,0.7,0.2,0.9,1.6,12.2,0,0,0,0,0,1,0,0,0,6
2021,Tyler Bey,SF,22,DAL,18,0,3.9,0.4,1.2,.318,0.1,0.2,.250,0.3,1.0,.333,.341,0.2,0.3,.600,0.4,0.6,1.1,0.2,0.0,0.1,0.2,0.3,1.0,0,0,0,0,0,0,0,0,0,0
2021,Khem Birch,C,28,ORL,48,5,19.8,2.0,4.4,.450,0.1,0.4,.190,1.9,3.9,.479,.459,1.3,1.8,.741,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3,0,0,0,0,0,0,0,0,0,0
2021,Khem Birch,C,28,TOR,19,17,30.4,5.0,9.0,.556,0.5,1.6,.290,4.5,7.4,.614,.582,1.5,2.3,.636,3.0,4.6,7.6,1.9,0.8,1.2,1.1,2.4,11.9,0,0,0,0,0,0,0,0,0,0
2021,Goga Bitadze,C,21,IND,45,3,12.5,1.8,4.3,.428,0.4,1.8,.253,1.4,2.6,.548,.479,1.0,1.4,.738,1.3,2.0,3.3,0.8,0.2,1.3,0.4,2.1,5.1,0,0,0,0,0,0,0,0,0,0
2021,Bismack Biyombo,C,28,CHO,66,36,20.4,2.2,3.7,.587,0.0,0.0,.000,2.2,3.7,.589,.587,0.7,1.6,.448,2.1,3.2,5.3,1.2,0.3,1.1,1.1,2.1,5.0,0,0,0,0,0,0,0,0,0,0
2021,Nemanja Bjelica,PF,32,SAC,26,1,16.9,2.7,5.8,.460,0.7,2.2,.293,2.0,3.5,.565,.517,1.2,1.6,.762,0.9,2.9,3.8,1.9,0.3,0.1,1.1,1.8,7.2,0,0,0,0,0,0,0,0,0,0
2021,Nemanja Bjelica,PF,32,MIA,11,2,14.2,1.8,4.2,.435,0.9,2.5,.370,0.9,1.7,.526,.543,0.5,0.8,.556,0.5,2.0,2.5,1.8,0.6,0.3,0.5,1.8,5.0,0,0,0,0,0,0,0,0,0,0
2021,Eric Bledsoe,SG,31,NOP,71,70,29.7,4.3,10.3,.421,1.7,5.0,.341,2.6,5.3,.496,.503,1.9,2.7,.687,0.4,3.0,3.4,3.8,0.8,0.3,1.6,1.6,12.2,0,0,0,0,0,0,0,0,0,0
2021,Keljin Blevins,SF,25,POR,17,0,4.4,0.3,1.2,.250,0.1,0.5,.250,0.2,0.7,.250,.300,0.0,0.0,,0.2,0.4,0.6,0.2,0.1,0.0,0.3,0.5,0.7,0,0,0,0,0,0,0,0,0,0
2021,Bogdan Bogdanović,SG,28,ATL,44,27,29.7,6.1,12.8,.473,3.3,7.6,.438,2.8,5.3,.522,.602,0.9,1.0,.909,0.5,3.2,3.6,3.3,1.1,0.3,1.2,2.3,16.4,0,0,0,0,0,0,0,0,0,0
2021,Bojan Bogdanović,SF,31,UTA,72,72,30.8,5.6,12.8,.439,2.5,6.4,.390,3.1,6.4,.487,.536,3.2,3.7,.879,0.6,3.3,3.9,1.9,0.6,0.1,1.8,1.6,17.0,0,0,0,0,0,0,0,0,0,0
2021,Bol Bol,PF,21,DEN,32,2,5.0,0.8,1.8,.431,0.3,0.8,.375,0.5,1.1,.471,.509,0.3,0.5,.667,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.4,2.2,0,0,0,0,0,0,0,0,0,0
2021,Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2,0,0,0,0,0,0,0,0,0,0
2021,Jordan Bone,PG,23,ORL,14,0,14.0,1.6,3.9,.426,0.7,2.3,.313,0.9,1.6,.591,.519,0.0,0.0,,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0,0,0,0,0,0,0,0,0,0,0
2021,Isaac Bonga,SF,21,WAS,40,8,10.8,0.8,2.0,.370,0.3,1.2,.277,0.4,0.9,.500,.451,0.1,0.2,.625,0.5,1.2,1.7,0.6,0.3,0.2,0.6,1.6,2.0,0,0,0,0,0,0,0,0,0,0
2021,Devin Booker,SG,24,PHO,67,67,33.9,9.3,19.2,.484,1.9,5.5,.340,7.4,13.7,.543,.533,5.1,5.9,.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,25.6,0,0,0,0,0,0,0,1,0,0
2021,Chris Boucher,C,28,TOR,60,14,24.2,4.8,9.3,.514,1.5,3.9,.383,3.3,5.4,.609,.595,2.5,3.2,.788,2.0,4.8,6.7,1.1,0.6,1.9,0.8,2.8,13.6,0,0,0,0,0,0,0,0,0,0
2021,Brian Bowen,SF,22,IND,6,0,2.5,0.2,0.7,.250,0.0,0.2,.000,0.2,0.5,.333,.250,0.2,0.2,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.5,0,0,0,0,0,0,0,0,0,0
2021,Avery Bradley,SG,30,MIA,10,1,21.1,3.1,6.6,.470,1.6,3.8,.421,1.5,2.8,.536,.591,0.7,0.9,.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5,0,0,0,0,0,0,0,0,0,0
2021,Avery Bradley,SG,30,HOU,17,5,23.0,1.9,6.2,.314,1.0,3.7,.270,0.9,2.5,.381,.395,0.3,0.4,.833,0.4,1.9,2.3,1.9,0.8,0.1,1.1,1.7,5.2,0,0,0,0,0,0,0,0,0,0
2021,Tony Bradley,C,23,PHI,20,8,14.4,2.6,3.8,.680,0.0,0.1,.000,2.6,3.7,.689,.680,0.4,0.6,.636,2.0,3.3,5.2,0.9,0.3,0.7,0.3,1.4,5.5,0,0,0,0,0,0,0,0,0,0
2021,Tony Bradley,C,23,OKC,22,0,18.0,3.6,5.5,.656,0.0,0.1,.000,3.6,5.5,.667,.656,1.4,2.0,.705,2.1,4.0,6.1,0.9,0.4,0.8,1.2,1.5,8.7,0,0,0,0,0,0,0,0,0,0
2021,Jarrell Brantley,PF,24,UTA,28,0,4.9,0.9,1.9,.481,0.4,1.0,.429,0.5,0.9,.542,.596,0.1,0.1,1.000,0.3,0.6,1.0,0.5,0.3,0.1,0.3,0.6,2.3,0,0,0,0,0,0,0,0,0,0
2021,Ignas Brazdeikis,SF,22,NYK,4,0,1.8,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5,0,0,0,0,0,0,0,0,0,0
2021,Ignas Brazdeikis,SF,22,PHI,1,0,8.0,0.0,3.0,.000,0.0,1.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2021,Ignas Brazdeikis,SF,22,ORL,8,0,29.3,4.4,9.9,.443,1.4,3.4,.407,3.0,6.5,.462,.513,1.0,1.5,.667,1.3,3.9,5.1,2.0,0.5,0.4,1.4,2.8,11.1,0,0,0,0,0,0,0,0,0,0
2021,Mikal Bridges,SF,24,PHO,72,72,32.6,5.0,9.3,.543,1.9,4.4,.425,3.2,4.9,.647,.643,1.5,1.8,.840,1.1,3.2,4.3,2.1,1.1,0.9,0.8,1.6,13.5,0,0,0,0,0,0,0,0,0,0
2021,Miles Bridges,PF,22,CHO,66,19,29.3,4.7,9.4,.503,1.8,4.4,.400,3.0,5.0,.593,.596,1.5,1.7,.867,1.2,4.8,6.0,2.2,0.7,0.8,1.6,2.2,12.7,0,0,0,0,0,0,0,0,0,0
2021,Amida Brimah,C,26,IND,5,0,5.8,1.0,1.6,.625,0.0,0.0,,1.0,1.6,.625,.625,0.6,0.6,1.000,0.4,1.2,1.6,0.2,0.0,1.0,0.8,0.8,2.6,0,0,0,0,0,0,0,0,0,0
2021,Oshae Brissett,SF,22,IND,21,16,24.7,3.5,7.2,.483,1.6,3.7,.423,1.9,3.5,.548,.593,2.4,3.1,.769,1.4,4.1,5.5,0.9,0.9,1.0,0.5,1.5,10.9,0,0,0,0,0,0,0,0,0,0
2021,Malcolm Brogdon,PG,28,IND,56,56,34.5,7.9,17.5,.453,2.6,6.7,.388,5.3,10.8,.493,.527,2.7,3.2,.864,1.0,4.2,5.3,5.9,0.9,0.3,2.1,2.0,21.2,0,0,0,0,0,0,0,0,0,0
2021,Armoni Brooks,SG,22,HOU,20,5,26.0,3.9,9.6,.406,3.0,7.9,.382,0.9,1.8,.514,.563,0.4,0.6,.583,0.5,2.9,3.4,1.5,0.6,0.3,1.1,1.7,11.2,0,0,0,0,0,0,0,0,0,0
2021,Dillon Brooks,SF,25,MEM,67,67,29.8,6.4,15.4,.419,1.9,5.6,.344,4.5,9.8,.461,.481,2.4,2.9,.815,0.8,2.1,2.9,2.3,1.2,0.4,1.8,3.5,17.2,0,0,0,0,0,0,0,0,0,0
2021,Bruce Brown,PG,24,BRK,65,37,22.3,3.6,6.5,.556,0.3,0.9,.288,3.4,5.6,.599,.576,1.3,1.8,.735,1.7,3.7,5.4,1.6,0.9,0.4,0.8,2.2,8.8,0,0,0,0,0,0,0,0,0,0
2021,Charlie Brown Jr.,SG,23,OKC,9,1,16.9,1.4,4.8,.302,0.6,2.3,.238,0.9,2.4,.364,.360,1.0,1.1,.900,0.3,1.6,1.9,1.0,0.4,0.2,0.7,2.1,4.4,0,0,0,0,0,0,0,0,0,0
2021,Jaylen Brown,SG,24,BOS,58,58,34.5,9.3,19.2,.484,2.8,7.1,.397,6.5,12.1,.536,.558,3.3,4.3,.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,24.7,0,0,0,0,0,0,0,0,1,0
2021,Moses Brown,C,21,OKC,43,32,21.4,3.4,6.2,.545,0.0,0.0,,3.4,6.2,.545,.545,1.8,2.9,.619,3.6,5.3,8.9,0.2,0.7,1.1,1.0,2.2,8.6,0,0,0,0,0,0,0,0,0,0
2021,Sterling Brown,SG,25,HOU,51,14,24.1,2.9,6.6,.448,1.8,4.2,.423,1.2,2.4,.492,.584,0.5,0.6,.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2,0,0,0,0,0,0,0,0,0,0
2021,Troy Brown Jr.,SF,21,WAS,21,0,13.7,1.6,4.2,.371,0.7,2.2,.304,0.9,2.0,.442,.449,0.5,0.7,.667,0.5,2.4,2.9,0.9,0.1,0.2,0.8,1.4,4.3,0,0,0,0,0,0,0,0,0,0
2021,Troy Brown Jr.,SF,21,CHI,13,0,18.2,2.2,4.2,.527,0.6,1.8,.333,1.6,2.4,.677,.600,0.4,0.5,.833,0.7,2.7,3.4,0.8,0.5,0.2,0.4,1.5,5.5,0,0,0,0,0,0,0,0,0,0
